"Name","id_Number","row_Number","seat_Number","auditorium_Number","test_result","score"
"Adele Olson",90748195012026526,11,45,1,"False",67.9662
"Adele Rogers",90565198609018736,16,33,4,"False",64.6798
"Adele Salcido",14740193708133370,49,30,4,"False",61.7737
"Adeline Maldonado",33591198006307713,52,18,4,"False",65.76
"Adeline Nance",73937196403049477,9,8,5,"False",68.7047
"Adeline Schultz",48276198904298424,7,37,5,"True",80.5317
"Adolfo Burton",84712201909152830,19,38,4,"False",62.9147
"Adolfo Davilla",27887195302056192,11,42,1,"False",64.6798
"Adrian Flood",12248193206223018,6,54,2,"False",59.0662
"Adrian Taylor",35943195007265081,34,52,2,"False",65.0219
"Adrianna Anderson",21265194208106240,3,14,1,"False",62.6023
"Adrienne Evans",68752199603074521,11,46,5,"True",64.6798
"Adrienne Kittel",20497195501056278,18,53,4,"False",62.2801
"Adrienne Macdougall",18268198508072601,15,32,6,"False",64.6798
"Adrienne Moore",94540193809092011,36,41,6,"False",64.6798
"Agnes Brashears",54574200811184616,3,58,4,"False",74.1159
"Agnes Cohen",81690201202021704,35,52,4,"False",64.6798
"Agnes Eliason",13528201105295586,31,68,4,"False",89.617
"Agnes Gelabert",61114198201011541,4,41,6,"False",76.933
"Agnes Jin",88272199806131988,19,16,2,"False",83.281
"Agnes Lopez",87298197703312305,4,12,6,"False",79.2086
"Agnes Oconnell",92244198201056785,10,38,1,"False",73.823
"Agnes Poole",10235201508301978,7,42,2,"False",83.3126
"Agnes Romero",88458198302032629,7,2,1,"False",85.4951
"Agnes Sanchez",64458193902035762,3,39,1,"False",70.0377
"Agnes Savino",24945195303186597,2,39,3,"False",75.7866
"Agnes Severn",46191198409202781,43,31,2,"False",70.5104
"Agnes Woods",69436193304136167,15,21,4,"False",63.513
"Agustin Leone",77159195111174855,13,12,2,"False",59.7155
"Aida Radden",85979193101067415,54,53,4,"False",56.9756
"Aida Studer",59849195405191220,4,5,1,"True",63.4665
"Aileen Jackson",13281193802196939,20,41,1,"False",70.2935
"Aimee Holcomb",55944201006042292,14,35,2,"False",81.5826
"Aisha Stevenson",58887193603291954,6,56,5,"False",53.9531
"Aisha Tatro",95600200708176906,44,31,2,"False",77.5186
"Aisha Watkins",87779198007082451,5,29,2,"False",68.707
"Al Hensley",37039193908258977,26,8,6,"False",64.6798
"Al Kubie",15194201104177947,66,37,4,"False",72.296
"Al Minor",53177197011245382,41,6,6,"False",64.6798
"Alan Boltz",46145201912013638,35,2,4,"False",75.1042
"Alan Borden",38152198102076952,12,26,5,"False",66.1118
"Alan Bulow",95369196111094474,28,11,2,"False",65.7933
"Alan Collins",57289197805032139,11,34,4,"False",64.6798
"Alan Edwards",84956193911166081,7,26,1,"False",64.6798
"Alan Gamble",89473199911247719,3,30,3,"False",90.8275
"Alan Gasper",71660196301036321,25,31,2,"False",64.5607
"Alan Gray",37879201107253228,4,47,2,"False",73.557
"Alan Hedlund",48085193401202388,36,58,1,"False",64.6798
"Alan Inyart",46783194310177424,59,1,4,"False",80.2244
"Alan Kim",39521193210195222,4,52,1,"False",65.7678
"Alan Kretschmer",35201201204246970,1,36,2,"False",75.0386
"Alan Lamay",62128196701233820,35,4,2,"False",69.7695
"Alan Mcnett",14888194002039905,6,4,1,"False",60.078
"Alan Ramos",79196196106068114,36,29,2,"False",76.4889
"Alan Whirry",18578200607141478,34,63,1,"False",72.592
"Alan White",97271196308206098,15,56,4,"False",74.4827
"Alana Zielinski",93182196504012229,35,51,1,"True",61.679
"Alanna Burkholder",55533199906127324,34,39,4,"False",70.6845
"Alba Fox",32494198711091445,33,11,6,"False",81.5431
"Alba Villa",84463197411142139,20,6,4,"False",68.1216
"Albert Barham",34063200903185257,10,8,1,"False",77.2817
"Albert Butler",30618199802272937,49,42,1,"False",84.3678
"Albert Castaneda",35662193005094234,12,20,2,"False",59.1828
"Albert Green",52292199011095723,1,45,2,"True",68.1275
"Albert Hill",51254199503249716,51,55,2,"False",70.5578
"Albert Hoffpavir",58287197101217463,21,26,1,"False",65.2395
"Albert Lee",38966195901016911,38,50,5,"False",64.6798
"Albert Lemmo",64470193508218099,53,30,2,"False",60.194
"Albert Lopez",87856199409221250,49,7,1,"False",76.7919
"Albert Mann",77127193212255025,4,33,4,"False",64.6798
"Albert Martins",88631198312309693,30,60,5,"False",71.2837
"Albert Maskell",47595199610288037,48,23,2,"False",64.6798
"Albert Momphard",67857202003204470,2,60,1,"False",75.2886
"Albert Overman",70337197612128515,22,11,4,"False",64.6798
"Albert Patterson",85432196208278724,27,34,1,"False",77.664
"Albert Phillip",21915196612302588,23,43,6,"True",70.8173
"Albert Schiefelbein",17164198506293457,66,9,4,"False",64.6798
"Albert Turnipseed",40646200311059719,14,60,2,"False",77.4711
"Albert Walker",65907194708252537,36,25,1,"False",61.6555
"Alberta Aldrete",16253201907094285,7,62,5,"False",78.5774
"Alberta Ford",15540198301193583,22,62,2,"False",79.4856
"Alberta Martin",75725195105285064,24,28,4,"False",64.6798
"Alberto Fancher",10330193505076840,7,60,5,"False",67.6354
"Alberto Marquez",73583197012253101,56,31,4,"False",62.9943
"Alberto Nagel",81873200001173947,28,31,6,"True",88.8929
"Aldo Trask",28258199008078804,40,38,6,"False",64.6798
"Aleida Haas",75350200108044744,16,27,5,"False",80.5981
"Alejandra Carlen",16927199703121584,21,30,3,"False",84.7227
"Alejandra Keitsock",11824200701084567,46,61,1,"False",76.4838
"Alejandra Thurston",29063193407219346,32,26,1,"False",60.5559
"Alejandro Rodriquez",46150198904144928,7,30,2,"False",87.2223
"Alejandro Smith",63850199110189135,7,45,1,"False",64.6798
"Alejandro Taylor",74997194209167369,40,62,2,"True",64.7672
"Alesia Palomaki",19838200002152157,32,23,1,"False",94.52
"Alessandra Guetersloh",91438195408082224,19,20,1,"False",65.3229
"Aletha Young",47738200009272260,10,17,6,"False",79.3706
"Alethia Bouchard",34239195904033818,56,38,2,"False",85.187
"Alex Carroll",78122198005134426,56,46,4,"False",72.9282
"Alex Harrison",81687197408173596,50,64,2,"False",74.3137
"Alex Hayes",83159193606107371,32,27,3,"False",56.4603
"Alex Puckett",25915198406118744,32,62,5,"False",76.7468
"Alex Seal",85027200106127689,33,30,3,"False",91.4191
"Alexa Maples",86582201803069489,29,38,2,"False",77.7203
"Alexander Grove",76592194704288996,3,28,3,"False",79.4732
"Alexander Heuck",42452200007283469,23,22,4,"False",73.2287
"Alexander Johnston",85112193308114841,23,10,3,"True",72.3636
"Alexander Jones",21404198303185295,54,41,2,"False",78.1072
"Alexander Juarez",56568193612049045,9,34,2,"False",59.2636
"Alexander Martinez",19115196804222500,21,7,5,"False",79.1004
"Alexander Pritts",12668200807165711,25,34,1,"False",83.8075
"Alexander Showers",11414195304069478,15,50,2,"False",78.7904
"Alexander Waldron",18082193905248940,7,17,2,"False",64.6798
"Alexander Whittenbeck",15655200204278674,56,1,2,"False",83.7154
"Alexander Williams",33405196712107050,37,29,3,"False",64.6798
"Alexandra Baker",17288196412216439,21,23,2,"True",74.651
"Alexandra Brill",58178199002066352,55,20,4,"False",64.6798
"Alexandra Cortez",31864201403139996,22,24,6,"False",65.2788
"Alexandra Davison",72061198609034646,8,41,4,"False",78.3062
"Alexandra Gomez",35910197201051248,31,10,4,"False",83.2418
"Alexandria Bailey",50915201806305677,4,61,2,"False",69.4591
"Alexandria Horowitz",29317198211266414,23,47,1,"False",90.7666
"Alexis Carpenter",85642200609285607,54,51,2,"False",82.6094
"Alexis Kelly",77266201009153090,58,12,2,"False",64.6798
"Alexis Turnbull",13986196810183943,42,58,5,"False",63.8907
"Alexis Whitlow",81096201302104087,44,37,5,"False",74.4692
"Alfonso Farley",35536193212127382,32,17,3,"False",50.9238
"Alfonso Graves",92069197505177273,6,4,6,"False",85.251
"Alfonso Mcdaniel",80239201108168946,45,64,1,"False",64.6798
"Alfonzo Shaver",95077193906294341,40,57,4,"False",63.4178
"Alfred Bostian",33028200102257434,36,14,2,"False",87.079
"Alfred Crews",74057202004089320,5,59,1,"False",73.5735
"Alfred Cunningham",71709199904128625,18,46,4,"False",64.6798
"Alfred Groves",16641198304057077,3,44,3,"False",81.9719
"Alfred Reyolds",69549201106108147,9,41,6,"False",84.3189
"Alfred Vasquez",93188195305062869,14,42,6,"False",69.1797
"Alfred Watson",13853195812176977,24,12,6,"False",64.6798
"Alfreda Duggan",95657195706169624,25,15,6,"False",72.3356
"Alfredia Bader",66078193606241405,10,6,3,"False",47.3442
"Alfredo Green",50116197106237601,43,34,5,"False",61.4104
"Alfredo Mullen",44676201301092774,45,4,1,"False",84.1263
"Alfredo Ryan",66064200508297808,27,1,2,"False",85.8536
"Alfredo Thomas",59972194711151919,42,62,5,"False",63.4606
"Alia Griffin",62132196807256838,54,62,4,"True",64.6798
"Alia Powell",22761194309084986,44,55,2,"False",58.6496
"Alice Baker",20538202001027030,29,40,6,"False",59.1874
"Alice Bracy",70117197907292875,55,54,2,"False",80.7791
"Alice Chandler",50480195306192434,48,12,1,"True",74.4952
"Alice Chase",48419195010023138,4,14,5,"False",66.1329
"Alice Cowley",49354200403117642,30,39,2,"False",82.691
"Alice Dunbar",51474199406304569,9,30,6,"False",85.1177
"Alice Gillen",87215201607085752,23,12,6,"True",70.9076
"Alice Hamlin",20485194111257336,46,20,1,"False",66.7649
"Alice Hayes",75926200501045870,6,5,5,"False",85.4125
"Alice Jackson",86500197410139422,11,25,2,"False",81.122
"Alice Kuttner",93985199506196856,22,11,1,"False",80.3857
"Alice Lugo",69731196604048688,17,48,1,"False",77.9935
"Alice Mestas",91673200808256399,3,34,5,"False",76.4225
"Alice Miller",75947201609254926,9,40,1,"False",64.6798
"Alice Neace",69799194704086316,6,24,1,"False",76.8778
"Alice Nieman",30837199502141498,28,47,5,"False",64.6798
"Alice Parsons",64978201006023649,21,44,3,"False",82.212
"Alice Perkins",59675199711071592,6,55,1,"False",70.6277
"Alice Peterson",38717200601066420,18,59,5,"False",79.762
"Alice Roberts",45066201107252887,29,4,4,"False",82.2939
"Alice Schneider",98642197112292680,35,50,4,"False",68.5847
"Alice Shones",88909198712237430,4,42,4,"False",79.985
"Alice Smith",44222201502191271,17,33,6,"False",61.514
"Alice Swanson",93719200903243489,6,60,4,"False",78.8544
"Alice Thorne",51992200601253035,29,39,6,"False",93.4801
"Alice Widrick",51230194012012192,11,1,2,"False",52.6145
"Alicia Ganison",61990194307123147,37,66,4,"False",74.6073
"Alicia Grove",26145194707041910,12,31,1,"False",66.6356
"Alicia Husseini",59860201810138336,15,58,2,"False",72.8249
"Alicia James",16386193205076609,49,64,1,"False",61.5223
"Alicia Lauzon",34917194701127416,50,26,1,"False",73.849
"Alicia Lew",56596198108181843,41,1,6,"False",82.6051
"Alicia Olivares",19971197209196696,52,42,2,"False",89.9546
"Alicia Patel",12771194512081906,55,28,4,"False",72.7429
"Alicia Puentes",49796197203036113,22,26,2,"False",71.0896
"Alicia Sheldon",22717194110312307,42,41,6,"False",72.9967
"Alicia Smith",34682195610127433,2,16,4,"False",73.5543
"Alicia Williams",27391194308029059,32,19,1,"False",62.0237
"Alida Chauez",96428201307249025,25,35,5,"False",66.5141
"Alisa Griffen",91088194404139825,27,65,1,"False",56.1447
"Alisha Kline",26043201607191932,35,65,1,"False",73.4858
"Alison Boisvert",78755199507309055,28,68,4,"False",73.9554
"Alison Chandler",25720199407276015,59,41,4,"False",77.2106
"Alison Jordan",43482198905014556,27,35,4,"False",84.1898
"Alison Paul",90603200006226132,61,54,4,"False",82.5186
"Alison Tilley",13789195905281226,28,13,6,"False",69.8674
"Alix Owens",49294199805072508,38,20,4,"True",66.6015
"Aliza Campbell",15969193101193134,5,47,1,"False",67.1997
"Allen Atkins",23003195506117782,4,27,2,"False",66.6979
"Allen Mitchell",25877201404038026,45,8,5,"False",79.3564
"Allen Prince",73558201103035675,2,4,2,"False",87.9387
"Allen Rodriguez",86240193001139441,26,10,6,"False",64.6798
"Allen Stater",57823200205055679,6,25,3,"False",74.1905
"Allen Torres",99021196703215477,59,53,4,"False",61.9446
"Allie Mccarthy",18322195308278827,29,32,5,"False",69.4093
"Allie Schmid",64815197607268725,48,24,2,"False",82.0371
"Allie Smith",95161193905301951,52,42,4,"False",41.7448
"Alline Chavez",40481193512194706,13,30,4,"False",71.5429
"Allison Gatling",92280194201223140,11,14,2,"False",58.0376
"Allison Godbolt",62595196601107171,41,68,4,"False",72.283
"Allison Johnson",66110193711218440,43,4,2,"False",51.7981
"Allison Pickhardt",21672199103141661,25,13,6,"False",84.1591
"Allison Sherwood",91790201201015461,41,61,1,"False",72.6068
"Allyson Boone",64681193106145440,45,56,2,"False",66.395
"Allyson Vest",17914196708075577,5,37,2,"False",76.998
"Alma Alvidrez",92481194301061236,44,58,2,"False",72.8676
"Alma Catt",47566198311181264,34,36,3,"False",79.2969
"Alma Fala",86580197109297666,25,15,5,"False",64.6798
"Alma Felton",29971195509029368,51,36,2,"False",71.7384
"Alma Lee",30445193901013227,11,54,1,"False",45.1524
"Alma Patton",36651196004034455,13,62,2,"True",69.051
"Alma Schooley",17052194002186058,28,54,1,"False",52.305
"Alma Williams",95469199903205592,50,65,2,"False",83.3242
"Alonzo Johnson",10624196901209985,45,39,1,"False",76.3934
"Alonzo Wright",84622198401052795,24,3,6,"False",67.5606
"Alta Carpenter",25771196306281905,35,43,5,"False",64.6798
"Alta Kaeo",60084198109293793,22,17,3,"False",78.3055
"Althea Moore",36454201401308496,45,34,5,"True",64.6798
"Alton Moffatt",16815201509094506,58,25,2,"False",74.1091
"Alva Edwards",51888195107197674,39,20,5,"False",70.4681
"Alvaro Carr",12551196904261705,21,66,1,"False",64.6798
"Alvaro Kovach",96509198312317369,12,18,3,"False",71.1678
"Alvin Aho",86633196009107839,17,31,6,"False",64.6798
"Alvin Boender",24893199805191718,11,20,2,"False",64.6798
"Alvin Brown",26155201401172059,11,2,1,"False",68.1806
"Alvin Clark",90874193105104301,45,5,2,"False",64.6798
"Alvin Cuadrado",86259198409276220,50,52,2,"False",87.6345
"Alvin Faunce",19186194401103549,18,4,4,"False",74.7062
"Alvin Hayes",45185193407194249,10,52,5,"False",55.6632
"Alvin Schultz",72424196804075061,18,1,2,"False",64.6798
"Alvina Stlaurent",98655196505056734,8,62,2,"False",69.2132
"Alysia Watson",58436196302238553,6,49,2,"False",79.2602
"Alyson Morris",89427200408236454,6,34,4,"False",64.2283
"Alyssa Cochrane",47092198002044484,2,55,5,"False",75.1343
"Alyssa Jasper",51864200005061796,13,44,1,"False",82.9746
"Alyssa Martin",98883200511162962,26,17,2,"False",64.6798
"Alyssa Roberts",80846195308297767,54,10,4,"False",58.9415
"Amada Reed",44867201202208551,1,68,1,"False",86.215
"Amado Rohling",87925199907073153,4,38,2,"False",82.3005
"Amalia Ansley",68737193803098617,34,52,4,"False",64.6798
"Amalia Perez",42627194512296876,58,28,4,"False",51.8773
"Amanda Alston",25957193505119757,21,11,6,"False",58.7704
"Amanda Baker",67898197402129984,6,37,3,"False",81.1164
"Amanda Bradfield",47599198804024861,26,62,1,"True",81.0368
"Amanda Chu",61857195310318856,45,57,1,"False",64.6798
"Amanda Coleman",63310198105038689,18,49,5,"False",64.6798
"Amanda Davidson",64268193908028044,16,36,1,"True",61.2202
"Amanda Deans",57759198109155128,48,33,2,"False",75.3801
"Amanda Eggleston",67257197602209825,67,45,4,"False",64.6798
"Amanda Fischer",11253194412226706,10,31,4,"False",61.9964
"Amanda Glosson",67165193904011196,58,16,2,"False",60.2757
"Amanda Good",25447194202089487,25,39,2,"False",64.6798
"Amanda Grady",74438196907051037,19,9,1,"False",70.9675
"Amanda Guthrie",48537197001239485,2,43,1,"False",75.9687
"Amanda Jones",70741197108188219,37,61,2,"False",61.8887
"Amanda Mahan",34992193104234891,33,27,6,"False",57.2625
"Amanda Mccue",80603194512092197,33,43,6,"False",70.439
"Amanda Mcdevitt",27973201301028986,29,9,4,"False",69.2382
"Amanda Mcrae",89388199512237663,3,15,2,"False",80.1249
"Amanda Michna",78183193507114848,44,60,5,"False",64.6798
"Amanda Ocasio",64793201812209691,33,42,1,"False",78.1699
"Amanda Pech",67391200703245824,9,29,3,"False",85.8721
"Amanda Poitier",23449193507154987,26,52,2,"False",66.2287
"Amanda Reilly",74883198701095175,25,3,5,"False",73.7847
"Amanda Rhoten",49104193805307669,44,28,4,"False",66.5058
"Amanda Seymour",35574194604037650,16,23,1,"False",56.1015
"Amanda Shepherd",91783197001224270,11,51,5,"False",77.5001
"Amanda Smeltzer",26049201103157591,40,33,4,"False",64.6798
"Amanda Snyder",49200195812306484,18,43,3,"True",68.9276
"Amanda Sparks",10007199803207225,36,4,3,"True",64.6798
"Amanda Stillwell",17782196208283050,26,37,6,"False",79.8103
"Amanda Trimble",84127200601182362,49,44,1,"False",78.7338
"Amanda Vallejo",63923194301179084,1,21,3,"False",61.2471
"Amanda Williams",85636200703144391,23,56,4,"False",64.6798
"Amanda Williams",13422195506183727,18,44,2,"True",61.7689
"Amber Berringer",23930198510085951,31,60,5,"False",64.6798
"Amber Bonilla",54904196701271771,3,43,1,"False",73.9354
"Amber Cooksey",69541195110229496,50,36,4,"False",61.4819
"Amber Housman",15448196012118052,4,45,4,"False",64.6798
"Amber James",22908201901272402,2,1,1,"False",78.6201
"Amber Laurent",15251199911262041,20,60,4,"False",64.6798
"Amber Lucas",41548195008105095,13,26,2,"False",71.3122
"Amber Piper",80928201510174104,45,60,2,"True",81.4247
"Amber Richardson",49102199504197656,23,53,2,"False",79.71
"Amber Robbins",95772201011297934,59,38,2,"False",85.8361
"Amber Rogers",65558198209045151,12,5,2,"False",85.3573
"Amber Stuber",18394198312157228,4,11,6,"False",76.5386
"Amber Tackett",35951194611175722,57,15,2,"False",64.5519
"Amber White",33265197106064493,11,59,1,"False",71.1373
"Amber Wilkerson",79154196703044534,15,9,6,"False",65.9076
"Amelia Harris",32875201105166942,44,55,4,"False",64.6798
"Amelia Pinette",18876198201274197,17,58,1,"False",78.0897
"Amelia Skinner",67022199212035096,3,67,4,"False",79.206
"Amie Hooper",83841194410273949,20,11,3,"False",70.1638
"Amina Robertson",34272199202088100,40,60,5,"False",85.0337
"Amos Raspberry",11446196712315402,19,19,5,"False",71.0629
"Amparo Ledford",12857199505302544,57,29,4,"False",87.7892
"Amparo Mcmanus",41535196205308717,66,21,4,"True",68.6169
"Amy Allen",12664195901121415,33,23,3,"False",66.5393
"Amy Beckem",34879193703109127,19,32,5,"False",64.6798
"Amy Betance",44530200201287462,4,36,6,"True",86.5226
"Amy Bunch",85980193801168290,54,65,4,"False",74.9204
"Amy Couey",12706193301259235,26,32,4,"False",61.4268
"Amy Dees",30453200103049299,7,7,3,"False",86.2424
"Amy Dowell",21775200911287184,28,23,2,"False",87.1911
"Amy Evans",12999197306021719,59,39,4,"False",76.9005
"Amy Faulkner",39003201909181559,31,53,5,"False",64.6798
"Amy Foster",82995197211106111,22,60,5,"False",70.2963
"Amy Graham",81341193111016405,30,41,1,"False",59.774
"Amy Green",82031200701234787,26,10,2,"False",75.339
"Amy Holloway",16250200605155810,40,15,2,"True",73.437
"Amy Hudson",64927201907272515,20,65,4,"False",76.115
"Amy Husk",78053201205235257,31,22,6,"False",72.368
"Amy Izzo",36891198108318745,18,14,2,"False",85.4853
"Amy Kaminsky",51100195607096478,43,51,5,"False",69.0013
"Amy Little",67062199208301953,54,11,4,"False",83.8482
"Amy Lu",21731195709122117,8,9,1,"False",71.0158
"Amy Lucky",14018198404199824,39,32,4,"False",78.0239
"Amy Mccarty",81837196303046763,26,53,4,"False",74.2652
"Amy Mcdonald",97433195003195488,40,37,1,"False",55.3831
"Amy Merritt",31980197011287575,36,60,4,"False",67.3141
"Amy Miller",67455200612246220,10,46,4,"True",64.6798
"Amy Niemi",78269194710192751,6,31,2,"False",70.1498
"Amy Nolton",17689194708209802,32,4,6,"True",73.4526
"Amy Robinson",16635197107173091,33,53,5,"False",85.9961
"Amy Roderick",76452194412061867,9,62,2,"False",70.4578
"Amy Rose",15801195302029369,25,20,1,"False",65.7052
"Amy Saavedra",44534195002036145,29,16,3,"False",71.0172
"Amy Sedlock",38383201905084312,33,26,4,"False",64.6193
"Amy Silva",39914198401169276,64,15,4,"False",74.7592
"Amy Stewart",15821199506031811,15,61,5,"False",89.4546
"Amy Walker",13090195208032518,14,6,4,"False",64.6798
"Amy Widera",48212195602153797,33,40,4,"False",70.6768
"Amy Wood",98419201003248946,17,54,2,"False",82.1322
"Ana Bowen",16747194807105087,48,6,4,"False",68.358
"Ana Garcia",95173195403127256,34,48,5,"True",70.7862
"Ana Garza",50785198603259772,35,2,2,"False",66.255
"Ana Gaston",65284198306202457,40,42,2,"False",78.2397
"Ana King",88781195805131915,34,43,6,"False",78.9832
"Ana Ma",82904196905253838,27,20,5,"False",73.6067
"Ana Numbers",19158197812241520,41,24,6,"False",77.6239
"Ana Pew",62600200411061582,8,42,6,"False",64.6798
"Ana Scribner",82129194903259040,17,9,3,"False",72.5558
"Andre Arthur",42785201703227262,22,44,5,"False",64.6798
"Andre Matson",45506198607266652,29,48,5,"False",81.0616
"Andre Nunez",10234202001281452,4,55,1,"True",73.3316
"Andre Resendez",77325197101074917,21,27,2,"False",75.858
"Andre Salas",34419199503127497,14,21,3,"True",88.58
"Andre Smith",33602197209075382,43,68,4,"False",57.5084
"Andre Wooldridge",26769193104014081,5,19,1,"False",63.3634
"Andrea Armor",33893195208065526,37,58,2,"False",68.6622
"Andrea Bonello",76726199706088117,13,15,1,"False",69.1049
"Andrea Carpenter",58676199908179619,19,9,2,"False",81.6778
"Andrea Chaires",55896199606084938,1,8,2,"False",72.9308
"Andrea Chance",75310194010033034,13,6,3,"False",59.1207
"Andrea Diego",46920198510312784,15,3,2,"False",78.9785
"Andrea Dillon",34937199512138842,27,17,5,"False",64.6798
"Andrea Dobbs",27654194302138075,5,55,1,"False",58.4429
"Andrea Estrada",10686199712031850,59,44,2,"False",79.8194
"Andrea Gary",66521195209157666,7,32,2,"False",74.2901
"Andrea Gatling",36488201412062621,38,2,6,"False",77.4616
"Andrea Gonsoulin",59799195903184678,26,32,5,"False",67.208
"Andrea Hart",21635200001034353,42,21,4,"False",85.4899
"Andrea Lee",29198198209101572,23,9,3,"False",73.2125
"Andrea Mckinney",68557197212249478,12,3,2,"False",64.6798
"Andrea Mishou",56644198312146653,27,40,4,"False",72.9178
"Andrea Nuzum",63573196102112363,39,43,1,"False",79.8285
"Andrea Sharp",30150197206195044,13,55,2,"False",72.4787
"Andrea Snyder",89071200111148156,25,10,3,"False",64.6798
"Andrea White",15357195901074171,5,63,4,"False",70.0444
"Andrea Young",60301193104256038,15,57,2,"False",64.6798
"Andres Fortin",23533194205215887,21,32,2,"False",69.5358
"Andres Skinnen",16782194503146632,2,4,4,"False",73.7574
"Andres Swanson",15780193403236529,1,53,1,"False",64.6798
"Andrew Affagato",11331195407038989,37,42,2,"False",66.0864
"Andrew Barbosa",16411196112157490,23,19,6,"False",75.2767
"Andrew Barron",53273198906143532,52,39,4,"False",81.9563
"Andrew Barth",20312200603245871,12,29,3,"False",74.4934
"Andrew Beyer",70598195511172751,24,37,4,"False",72.484
"Andrew Blakley",79487197606204917,37,10,2,"False",70.4399
"Andrew Blanding",14844200005312205,24,52,1,"False",71.625
"Andrew Brauner",22242200012225473,21,15,1,"False",75.6917
"Andrew Brown",17686200804234272,7,16,5,"False",80.8023
"Andrew Caron",83890201209017748,27,63,2,"False",79.4024
"Andrew Carpenter",18835196301191296,21,7,1,"False",69.3656
"Andrew Demark",14572200805031326,39,55,4,"False",83.4982
"Andrew Ducharme",85754199904303331,27,10,4,"False",91.5234
"Andrew Dyer",85775201702215585,32,48,4,"False",73.0559
"Andrew Emmert",98651200805288453,32,11,6,"False",90.8632
"Andrew Farmer",42985201607274451,48,27,4,"False",73.7595
"Andrew Farrar",55725198109037720,15,64,1,"False",64.6798
"Andrew Gardner",64956199608023116,32,63,1,"False",90.5037
"Andrew Geppert",19129195502038843,24,1,4,"False",71.1791
"Andrew Ha",38370199803313779,11,51,1,"False",80.5974
"Andrew Juarez",42698195810149917,2,42,1,"False",54.8949
"Andrew Kennedy",82513197703041920,47,5,4,"False",64.6798
"Andrew Lowe",17899195109012446,13,7,5,"False",64.6798
"Andrew Mccoy",29217194002032301,13,53,1,"False",62.6613
"Andrew Mitchell",58940197803286832,45,39,2,"False",76.3981
"Andrew Morasca",68845200005173806,45,8,4,"False",77.9664
"Andrew Nast",21742193602218947,42,28,1,"False",66.2556
"Andrew Oliver",31383193501272268,1,34,5,"False",64.6798
"Andrew Persinger",65852193512174219,4,47,5,"False",64.6798
"Andrew Rhoades",78038199509175213,34,13,6,"False",71.495
"Andrew Smith",18312197807163179,16,3,6,"False",69.0892
"Andrew Smith",88513201709103166,14,43,4,"False",73.6677
"Andrew Sparling",61008195702192691,31,67,1,"False",69.6894
"Andrew Stephens",97234201806112858,7,29,5,"False",64.9159
"Andrew Taylor",65573198202012178,6,2,4,"False",78.347
"Andrew Thao",96142193805137796,15,28,4,"False",74.978
"Andrew Villalobos",90912200702219941,25,64,4,"False",64.6798
"Andrew Villalobos",45352195512313509,7,48,4,"False",64.6798
